;sexo;tipo_de_emprendimiento;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;idea_negocio;línea_credito
2217;masculino;comercio;robledo;2;7;2018-02-20;7812000.0;drogueria;microempresarial
2218;femenino;comercio;altavista;2;16;2018-04-09;6000000.0;comidas rapidas;microempresarial
2219;femenino;comercio;santa margarita;2;7;2018-02-21;2500000.0;almacen ropa;microempresarial
2220;femenino;servicio;el poblado;2;14;2018-11-21;7800000.0;miscelanea;microempresarial
2221;masculino;industria;robledo;2;7;2018-10-11;7812420.0;fabrica;microempresarial
2222;femenino;comercio;cabecera san cristobal;2;60;2018-07-17;7800000.0;distribuidora;microempresarial
2223;femenino;comercio;campo valdes no. 1;3;4;2018-04-04;3500000.0;panaderia;microempresarial
2224;femenino;industria;sucre;2;8;2017-03-17;2000000.0;variedades;microempresarial
2225;femenino;comercio;san pablo;1;1;2016-09-22;2000000.0;fabrica calzado;microempresarial
2226;femenino;servicio;kennedy;2;6;2017-10-24;7377000.0;bares;microempresarial
2227;femenino;comercio;altavista;2;16;2018-01-23;4000000.0;tienda;microempresarial
2228;femenino;comercio;robledo;2;7;2018-07-05;5000000.0;almacen ropa;microempresarial
2230;femenino;industria;belen;3;16;2018-04-09;7800000.0;fabrica;microempresarial
2231;masculino;servicio;picachito;1;6;2017-09-22;7300000.0;comidas rapidas;microempresarial
2232;femenino;servicio;manrique central no. 1;2;4;2016-10-07;6890000.0;peluqueria;microempresarial
2233;masculino;industria;cabecera san antonio ;2;80;2017-10-11;7000000.0;fabrica;microempresarial
2234;femenino;servicio;picacho;1;6;2016-11-29;1500000.0;fabrica helados;microempresarial
2235;femenino;industria;villa niza;2;2;2018-08-13;3500000.0;fabrica;microempresarial
2236;masculino;comercio;enciso;2;8;2017-03-02;7337000.0;comidas rapidas;microempresarial
2237;masculino;comercio;villa guadalupe;2;1;2018-11-26;7800000.0;variedades;microempresarial
2238;femenino;comercio;juan xxiii la quiebra;1;13;2017-03-14;7300000.0;restaurante;microempresarial
2239;femenino;comercio;girardot;3;5;2017-03-13;1200000.0;tienda helados;microempresarial
2240;femenino;comercio;belen;2;16;2019-02-04;6500000.0;ferreteria;microempresarial
2241;masculino;servicio;manrique oriental;1;3;2018-04-10;7800000.0;barberia;microempresarial
2242;femenino;servicio;altavista;1;16;2017-04-19;7370000.0;peluqueria;microempresarial
2243;masculino;comercio;cabecera san antonio ;2;80;2017-03-06;7000000.0;ferreteria;microempresarial
2244;femenino;comercio;robledo;2;7;2018-08-23;6000000.0;fabrica;microempresarial
2245;femenino;comercio;santa teresita;2;12;2017-04-07;7370000.0;reciclaje;microempresarial
2246;masculino;servicio;playon de los ;2;2;2017-03-07;1000000.0;publicidad;microempresarial
2247;femenino;comercio;cabecera san cristobal;3;60;2017-09-13;7300000.0;almacen ropa;microempresarial
2248;femenino;servicio;las palmas;3;10;2018-02-28;7000000.0;barberia;microempresarial
2249;masculino;industria;manrique central no. 1;1;4;2017-09-20;7300000.0;fabrica;microempresarial
2250;masculino;comercio;buenos aires;2;9;2017-03-03;5000000.0;comidas rapidas;microempresarial
2251;masculino;servicio;manrique central no. 1;2;4;2017-02-27;4000000.0;comidas rapidas;microempresarial
2252;femenino;comercio;san javier no.1;2;13;2018-09-24;6000000.0;fabrica helados;microempresarial
2253;femenino;servicio;robledo;2;7;2019-05-29;4000000.0;productos belleza;microempresarial
2254;femenino;comercio;popular;2;1;2016-03-29;6890000.0;variedades;microempresarial
2255;femenino;comercio;guayabal;3;15;2018-12-06;1000000.0;variedades;microempresarial
2256;masculino;comercio;santo domingo savio ;1;1;2018-08-22;7300000.0;drogueria;microempresarial
2257;femenino;comercio;belen;2;16;2018-07-04;7000000.0;almacen ropa;microempresarial
2258;femenino;comercio;guayabal;3;15;2018-06-18;7800000.0;variedades;microempresarial
2259;femenino;comercio;san javier no.1;3;13;2018-10-26;7800000.0;miscelanea;microempresarial
2260;masculino;industria;robledo;2;7;2016-04-06;4000000.0;fabrica;microempresarial
2262;femenino;comercio;robledo;3;7;2017-06-12;7377000.0;almacen ropa;microempresarial
2263;femenino;industria;robledo;2;7;2019-01-09;2200000.0;fabrica;microempresarial
2264;masculino;servicio;santo domingo savio ;2;1;2017-05-18;7377000.0;fotografia;microempresarial
2265;masculino;servicio;barrio caicedo;1;9;2016-06-14;5000000.0;peluqueria;microempresarial
2266;masculino;servicio;las palmas;2;10;2017-10-30;7300000.0;peluqueria;microempresarial
2267;femenino;industria;olaya herrera;2;7;2018-03-01;7800000.0;fabrica;microempresarial
2268;masculino;comercio;san javier no.1;2;13;2017-04-07;7377000.0;distribuidora;microempresarial
2269;masculino;servicio;el salado;1;13;2018-06-27;7800000.0;papeleria;microempresarial
2270;femenino;comercio;buenos aires;3;9;2018-10-31;7800000.0;papeleria;microempresarial
2271;masculino;comercio;villa hermosa;3;8;2018-01-23;3500000.0;panaderia;microempresarial
2272;masculino;comercio;doce de octubre no.1;2;6;2017-09-27;7377000.0;almacen ropa;microempresarial
2273;femenino;servicio;robledo;1;4;2018-06-14;7800000.0;panaderia;microempresarial
2274;femenino;agropecuaria;santa elena central;3;90;2018-02-02;19000000.0;sembrados;agropecuaria
2275;masculino;servicio;boston;3;10;2018-04-25;7800000.0;tienda;microempresarial
2276;femenino;comercio;cabecera san cristobal;1;60;2016-05-26;4000000.0;variedades;microempresarial
2277;femenino;industria;manrique central no. 1;2;4;2018-10-18;7000000.0;fabrica;microempresarial
2278;masculino;servicio;san javier no.1;1;13;2019-01-22;6000000.0;cafe internet;microempresarial
2279;masculino;industria;villa del socorro;2;2;2018-09-14;5000000.0;marroquineria;microempresarial
2280;femenino;comercio;moravia;2;4;2016-10-24;6800000.0;variedades;microempresarial
2281;femenino;comercio;aranjuez;2;4;2018-01-17;7800000.0;taller mecanica;microempresarial
2282;masculino;comercio;andalucia;2;2;2018-02-01;5000000.0;tienda;microempresarial
2283;femenino;comercio;santander;2;6;2016-04-25;3500000.0;variedades;microempresarial
2284;femenino;comercio;popular;1;1;2016-11-19;6890000.0;variedades;microempresarial
2285;femenino;comercio;florencia;3;5;2018-10-11;7800000.0;restaurante;microempresarial
2286;femenino;comercio;cabecera san cristobal;1;60;2018-06-15;2000000.0;variedades;microempresarial
2287;masculino;comercio;antonio nariño;2;13;2017-07-13;7370000.0;comidas rapidas;microempresarial
2288;femenino;industria;aranjuez;3;4;2017-10-02;3000000.0;panaderia;microempresarial
2289;femenino;comercio;aranjuez;3;4;2017-10-31;7377000.0;comidas rapidas;microempresarial
2290;femenino;servicio;enciso;1;8;2017-12-29;7377000.0;restaurante;microempresarial
2291;femenino;industria;belen;2;16;2016-07-07;6890000.0;fabrica;microempresarial
2292;femenino;comercio;florencia;3;5;2018-04-11;7800000.0;comidas rapidas;microempresarial
2293;femenino;comercio;barrio caicedo;1;9;2016-04-13;5000000.0;fabrica;microempresarial
2294;masculino;servicio;campo valdes no. 1;2;4;2018-07-25;7800000.0;comidas rapidas;microempresarial
2295;femenino;servicio;boston;3;10;2018-06-01;7000000.0;tienda;microempresarial
2296;femenino;comercio;loreto;3;9;2018-05-18;7800000.0;papeleria;microempresarial
2297;femenino;comercio;el salvador;2;9;2017-12-07;7300000.0;tienda;microempresarial
2298;femenino;servicio;campo valdes no. 1;3;4;2017-03-15;7300000.0;peluqueria;microempresarial
2299;femenino;comercio;belencito;2;13;2018-07-11;4000000.0;miscelanea;microempresarial
2300;masculino;industria;la floresta;3;12;2018-01-25;7800000.0;fabrica calzado;microempresarial
2301;femenino;industria;popular;2;1;2017-10-09;5000000.0;fabrica;microempresarial
2302;femenino;comercio;campo valdes no. 1;3;4;2017-12-05;7000000.0;variedades;microempresarial
2303;masculino;servicio;manrique central no. 1;2;4;2018-09-04;3000000.0;panaderia;microempresarial
2304;femenino;industria;belen;3;16;2016-12-27;4000000.0;fabrica;microempresarial
2305;femenino;industria;el triunfo;1;6;2017-09-20;6000000.0;fabrica;microempresarial
2306;femenino;servicio;la floresta;2;12;2017-06-15;7377000.0;peluqueria;microempresarial
2307;femenino;comercio;cabecera san cristobal;2;60;2017-09-05;6000000.0;cafe internet;microempresarial
2308;femenino;comercio;belen;2;16;2018-01-19;7800000.0;papeleria;microempresarial
2309;masculino;industria;santander;2;6;2017-03-22;5000000.0;fabrica;microempresarial
2310;femenino;comercio;manrique central no. 1;2;4;2018-11-28;6000000.0;variedades;microempresarial
2311;masculino;comercio;robledo;1;7;2017-06-23;7000000.0;variedades;microempresarial
2312;femenino;industria;boston;3;10;2019-06-05;7500000.0;fabrica;microempresarial
2313;femenino;industria;santa cruz;2;2;2017-04-17;6000000.0;fabrica;microempresarial
2314;femenino;comercio;barrio caicedo;1;9;2017-03-16;7000000.0;variedades;microempresarial
2315;masculino;servicio;aranjuez;2;4;2016-10-25;6890000.0;barberia;microempresarial
2316;masculino;industria;campo valdes no. 1;3;4;2017-07-11;3000000.0;ebanistaria;microempresarial
2317;femenino;comercio;santa cruz;2;2;2018-05-09;6000000.0;fabrica;microempresarial
2318;femenino;comercio;belencito;2;13;2017-10-25;7377000.0;tienda;microempresarial
2319;femenino;comercio;popular;2;1;2018-10-11;7800000.0;almacen ropa;microempresarial
2320;masculino;servicio;aranjuez;2;4;2016-06-02;6890000.0;miscelanea;microempresarial
2321;masculino;servicio;blanquizal;1;13;2017-09-11;7000000.0;tienda naturista;microempresarial
2322;masculino;industria;guayabal;2;15;2017-05-26;2000000.0;fabrica;microempresarial
2323;masculino;servicio;belencito;2;13;2017-05-23;7200000.0;fabrica;microempresarial
2324;femenino;comercio;buenos aires;3;9;2018-01-23;5000000.0;comidas rapidas;microempresarial
2325;masculino;comercio;cabecera san cristobal;3;60;2019-04-10;8200000.0;carniceria;microempresarial
2326;femenino;comercio;manrique central no. 1;2;4;2018-02-14;4000000.0;comidas rapidas;microempresarial
2327;femenino;comercio;robledo;2;7;2018-10-29;7000000.0;restaurante;microempresarial
2328;femenino;comercio;doce de octubre no.1;1;6;2017-03-01;7377000.0;papeleria;microempresarial
2330;femenino;servicio;barrio caicedo;2;9;2018-10-26;7800000.0;peluqueria;microempresarial
2331;femenino;comercio;villa del socorro;2;2;2018-09-24;4000000.0;fabrica alimentos;microempresarial
2332;femenino;industria;barrio caicedo;2;9;2016-11-09;6890000.0;fabrica;microempresarial
2333;femenino;servicio;aranjuez;3;4;2018-06-14;7800000.0;peluqueria;microempresarial
2334;masculino;comercio;manrique central no. 1;1;4;2018-02-12;1000000.0;fabrica productos;microempresarial
2335;femenino;industria;loma de los bernal;2;16;2018-05-18;6500000.0;fabrica;microempresarial
2336;femenino;servicio;buenos aires;2;9;2017-03-23;5000000.0;publicidad;microempresarial
2337;masculino;comercio;campo valdes no. 1;3;4;2016-06-15;6000000.0;variedades;microempresarial
2338;femenino;industria;andalucia;2;2;2018-12-20;4000000.0;fabrica;microempresarial
2339;femenino;servicio;el compromiso;1;1;2017-02-23;5000000.0;comidas rapidas;microempresarial
2340;femenino;industria;picachito;1;6;2017-04-05;7000000.0;taller electronica;microempresarial
2341;femenino;industria;manrique central no. 1;2;4;2018-04-05;1000000.0;fabrica calzado;microempresarial
2342;femenino;industria;belen;2;16;2017-03-22;7377000.0;fabrica productos;microempresarial
2343;femenino;industria;robledo;2;7;2016-10-20;6890000.0;miscelanea;microempresarial
2344;femenino;industria;santa cruz;2;2;2016-11-03;6000000.0;fabrica;microempresarial
2345;femenino;comercio;la milagrosa;3;9;2018-04-10;1000000.0;comidas rapidas;microempresarial
2346;masculino;comercio;aranjuez;1;4;2018-05-23;5250000.0;variedades;microempresarial
2347;masculino;servicio;robledo;3;7;2017-05-10;5000000.0;comidas rapidas;microempresarial
2348;femenino;comercio;robledo;2;7;2018-12-14;7000000.0;variedades;microempresarial
2349;femenino;comercio;buenos aires;2;9;2017-07-11;2500000.0;comidas rapidas;microempresarial
2350;femenino;comercio;boyaca;3;5;2016-07-15;6890000.0;tienda;microempresarial
2351;masculino;servicio;belen;3;16;2018-02-09;7800000.0;cafe internet;microempresarial
2352;femenino;industria;san javier no.1;2;13;2017-08-24;5000000.0;fabrica;microempresarial
2353;masculino;comercio;barrio caicedo;2;9;2016-11-10;3000000.0;ferreteria;microempresarial
2354;masculino;industria;santa elena central;2;90;2018-01-25;2000000.0;carpinteria;microempresarial
2355;femenino;comercio;altamira;3;7;2018-03-06;7800000.0;miscelanea;microempresarial
2357;femenino;comercio;castilla;3;5;2018-10-18;7812000.0;drogueria;microempresarial
2358;femenino;comercio;manrique central no. 1;2;4;2017-12-20;7000000.0;peluqueria;microempresarial
2359;masculino;comercio;manrique central no. 2;3;3;2016-07-27;4000000.0;tienda;microempresarial
2360;masculino;servicio;belen;3;16;2017-04-07;7300000.0;papeleria;microempresarial
2361;femenino;servicio;florencia;3;5;2016-05-19;1500000.0;productos belleza;microempresarial
2362;masculino;comercio;la libertad;2;8;2018-04-25;5000000.0;variedades;microempresarial
2363;femenino;industria;centro admtivo;3;10;2016-12-13;6890000.0;fabrica;microempresarial
2364;masculino;comercio;barrio caicedo;1;9;2017-07-13;7370000.0;carpinteria;microempresarial
2365;femenino;comercio;altavista;2;16;2018-06-07;4000000.0;comidas rapidas;microempresarial
2366;masculino;servicio;olaya herrera;1;7;2017-11-03;4000000.0;mantenimiento;microempresarial
2367;masculino;industria;santa cruz;2;2;2018-03-14;7000000.0;fabrica;microempresarial
2368;femenino;servicio;manrique central no. 2;2;3;2016-05-20;5500000.0;peluqueria;microempresarial
2369;femenino;comercio;loreto;3;9;2018-04-18;7800000.0;granero;microempresarial
2370;femenino;comercio;la milagrosa;2;9;2017-06-29;7377000.0;charcuteria;microempresarial
2371;femenino;comercio;san javier no.1;2;13;2016-10-21;5200000.0;almacen ropa;microempresarial
2372;masculino;comercio;guayabal;2;15;2017-04-25;7300000.0;almacen ropa;microempresarial
2373;femenino;comercio;moravia;2;4;2016-06-09;2000000.0;variedades;microempresarial
2374;femenino;comercio;playon de los ;2;2;2018-03-09;4000000.0;comidas rapidas;microempresarial
2375;masculino;servicio;san javier no.1;3;13;2016-05-27;6500000.0;recreativo educativo;microempresarial
2376;masculino;comercio;bombona no. 1;3;10;2017-09-18;5000000.0;cafeteria;microempresarial
2377;femenino;industria;enciso;2;8;2019-05-22;7500000.0;fabrica;microempresarial
2378;femenino;industria;belen;2;16;2019-03-05;8281000.0;fabrica;microempresarial
2379;masculino;servicio;doce de octubre no.1;2;6;2017-04-04;3000000.0;barberia;microempresarial
2380;femenino;comercio;la floresta;3;12;2018-11-15;800000.0;variedades;microempresarial
2381;masculino;comercio;villa hermosa;2;8;2017-10-11;4000000.0;fabrica alimentos;microempresarial
2382;masculino;industria;guayabal;3;15;2018-11-22;7800000.0;panaderia;microempresarial
2383;femenino;comercio;manrique central no. 2;2;3;2017-05-31;7000000.0;tienda;microempresarial
2384;masculino;comercio;barrio caicedo;3;9;2018-04-17;7800000.0;variedades;microempresarial
2385;femenino;comercio;enciso;2;8;2018-07-05;7800000.0;cafe internet;microempresarial
2386;femenino;comercio;buenos aires;3;9;2016-11-18;6300000.0;almacen ropa;microempresarial
2387;femenino;comercio;castilla;3;5;2018-09-03;2000000.0;almacen ropa;microempresarial
2388;femenino;comercio;popular;2;1;2017-10-18;7300000.0;variedades;microempresarial
2389;femenino;comercio;palmitas;2;50;2017-04-25;2000000.0;almacen ropa;microempresarial
2390;masculino;servicio;moravia;2;4;2018-09-14;7800000.0;mantenimiento;microempresarial
2391;masculino;comercio;san javier no.1;2;13;2017-05-05;5000000.0;venta calzado;microempresarial
2392;masculino;servicio;guayabal;3;15;2016-08-01;6000000.0;taller mecanica;microempresarial
2393;femenino;servicio;robledo;3;7;2017-10-24;2000000.0;peluqueria;microempresarial
2394;femenino;servicio;tejelo;3;5;2016-11-28;6890000.0;restaurante;microempresarial
2395;femenino;comercio;belen;2;16;2017-05-10;4000000.0;tienda helados;microempresarial
2396;femenino;servicio;manrique central no. 2;3;3;2017-08-10;5000000.0;peluqueria;microempresarial
2397;femenino;comercio;santander;2;6;2017-08-30;7370000.0;variedades;microempresarial
2398;femenino;servicio;enciso;2;8;2016-11-28;6890000.0;lavadero;microempresarial
2399;femenino;servicio;cabecera san antonio ;3;80;2018-04-04;7800000.0;lavanderia;microempresarial
2400;femenino;comercio;campo valdes no. 1;2;4;2019-05-23;4800000.0;almacen ropa;microempresarial
2401;femenino;comercio;buenos aires;3;9;2018-01-19;7800000.0;papeleria;microempresarial
2402;femenino;agropecuaria;cabecera san cristobal;2;60;2019-02-22;10000000.0;venta pollos;microempresarial
2403;masculino;comercio;las palmas;2;90;2016-04-15;6890000.0;variedades;microempresarial
2404;femenino;industria;cabecera san cristobal;1;60;2017-10-12;7300000.0;variedades;microempresarial
2405;femenino;comercio;santander;2;6;2017-02-14;5000000.0;variedades;microempresarial
2406;femenino;servicio;enciso;2;8;2019-04-25;7000000.0;peluqueria;microempresarial
2407;femenino;comercio;manrique oriental;3;3;2017-04-05;6000000.0;marqueteria;microempresarial
2408;femenino;industria;robledo;3;7;2016-09-07;6890000.0;fabrica;microempresarial
2409;femenino;servicio;enciso;2;8;2016-06-22;6890000.0;comidas rapidas;microempresarial
2410;femenino;industria;enciso;2;8;2018-01-24;4000000.0;fabrica;microempresarial
2411;femenino;servicio;la loma;2;60;2018-10-11;7800000.0;productos mar;microempresarial
2412;femenino;comercio;santo domingo savio ;2;1;2018-05-02;7800000.0;variedades;microempresarial
2413;femenino;comercio;la floresta;3;12;2018-01-24;7800000.0;variedades;microempresarial
2414;masculino;comercio;san pablo;1;1;2018-02-15;3000000.0;comidas rapidas;microempresarial
2415;masculino;comercio;olaya herrera;1;7;2017-08-30;7377000.0;comidas rapidas;microempresarial
2416;masculino;comercio;castilla;3;5;2016-04-18;4500000.0;variedades;microempresarial
2417;masculino;comercio;cabecera san cristobal;2;60;2017-07-25;7370000.0;variedades;microempresarial
2418;femenino;servicio;campo valdes no. 1;3;4;2016-07-18;6000000.0;peluqueria;microempresarial
2419;femenino;comercio;blanquizal;1;13;2019-05-14;2000000.0;tienda;microempresarial
2420;masculino;comercio;manrique central no. 1;3;4;2018-02-13;7800000.0;variedades;microempresarial
2421;femenino;servicio;cabecera san cristobal;1;60;2017-11-28;5000000.0;peluqueria;microempresarial
2422;femenino;comercio;enciso;1;8;2017-05-05;7000000.0;peluqueria;microempresarial
2423;femenino;comercio;blanquizal;1;13;2016-09-19;6890000.0;tienda;microempresarial
2424;femenino;industria;cabecera san cristobal;2;60;2017-03-06;1000000.0;miscelanea;microempresarial
2425;femenino;comercio;manrique oriental;1;3;2018-06-22;7800000.0;variedades;microempresarial
2426;masculino;comercio;aranjuez;2;4;2016-04-22;6890000.0;variedades;microempresarial
2427;femenino;comercio;la floresta;2;12;2018-03-09;7812000.0;variedades;microempresarial
2428;femenino;comercio;robledo;1;7;2018-09-14;7000000.0;tienda helados;microempresarial
2429;femenino;industria;las brisas;3;5;2017-05-09;5000000.0;cerrajeria;microempresarial
2430;masculino;industria;granizal;2;1;2018-06-22;5500000.0;fabrica calzado;microempresarial
2431;femenino;comercio;palmitas;2;50;2018-07-03;3000000.0;criadero animales;microempresarial
2433;femenino;industria;la esperanza;1;6;2016-04-27;6890000.0;fabrica;microempresarial
2434;femenino;servicio;santo domingo savio ;1;1;2017-10-19;4000000.0;cafe internet;microempresarial
2435;masculino;comercio;manrique central no. 2;2;3;2017-04-24;7300000.0;tienda;microempresarial
2436;femenino;servicio;villa del socorro;2;2;2018-11-09;4000000.0;peluqueria;microempresarial
2437;femenino;comercio;manrique oriental;2;3;2018-11-02;6000000.0;miscelanea;microempresarial
2438;masculino;comercio;centro admtivo;3;10;2017-05-11;7300000.0;restaurante;microempresarial
2439;masculino;comercio;enciso;1;8;2018-11-28;6000000.0;tienda;microempresarial
2440;masculino;industria;cabecera san antonio ;3;80;2019-04-25;2000000.0;jardineria;microempresarial
2441;femenino;comercio;villa niza;2;2;2017-06-05;3000000.0;cafeteria;microempresarial
2442;masculino;comercio;enciso;2;8;2017-09-08;5000000.0;tienda;microempresarial
2443;femenino;industria;la milagrosa;2;9;2018-03-16;3500000.0;fabrica;microempresarial
2444;femenino;industria;la loma;2;60;2017-04-26;7000000.0;fabrica;microempresarial
2446;femenino;comercio;barrio caicedo;1;9;2017-03-22;4000000.0;restaurante;microempresarial
2448;masculino;servicio;buenos aires;2;9;2016-11-30;4000000.0;barberia;microempresarial
2449;femenino;industria;robledo;2;7;2017-03-27;7300000.0;fabrica;microempresarial
2450;femenino;comercio;buenos aires;2;9;2018-06-01;6000000.0;peluqueria;microempresarial
2451;femenino;industria;manrique oriental;2;3;2017-10-18;6000000.0;fabrica colchones;microempresarial
2452;masculino;servicio;pedregal;2;6;2017-09-26;7370000.0;barberia;microempresarial
2453;femenino;servicio;cabecera san antonio ;3;80;2018-04-06;3000000.0;peluqueria;microempresarial
2454;femenino;comercio;castilla;3;5;2018-07-12;7800000.0;variedades;microempresarial
2455;femenino;agropecuaria;santa elena central;2;90;2017-01-19;30000000.0;criadero animales;empresarial ed
2456;femenino;comercio;campo valdes no. 1;3;4;2018-08-01;2500000.0;comidas rapidas;microempresarial
2457;femenino;comercio;robledo;2;7;2018-07-10;6000000.0;miscelanea;microempresarial
2458;femenino;comercio;buenos aires;3;9;2017-05-09;7377000.0;variedades;microempresarial
2459;masculino;comercio;la milagrosa;2;9;2017-07-05;7377000.0;fotografia;microempresarial
2460;masculino;industria;guayabal;2;15;2017-06-30;7300000.0;panaderia;microempresarial
2461;femenino;servicio;manrique central no. 2;1;3;2016-06-07;6000000.0;cafe internet;microempresarial
2462;femenino;comercio;palmitas;1;50;2017-06-08;4000000.0;restaurante;microempresarial
2463;femenino;comercio;maria cano ;2;3;2018-04-26;7000000.0;legumbreria;microempresarial
2464;femenino;industria;barrio caicedo;2;9;2019-02-13;4000000.0;joyeria;microempresarial
2465;femenino;comercio;santa cruz;2;2;2016-09-20;2000000.0;variedades;microempresarial
2466;masculino;industria;belencito;2;13;2016-07-12;5000000.0;comidas rapidas;microempresarial
2467;masculino;comercio;buenos aires;2;9;2016-02-18;6400000.0;papeleria;microempresarial
2468;femenino;industria;robledo;1;7;2018-07-09;5000000.0;fabrica;microempresarial
2469;masculino;servicio;los alcazares;3;13;2017-12-01;1500000.0;variedades;microempresarial
2470;femenino;comercio;ocho de marzo;1;9;2017-09-06;7000000.0;comidas rapidas;microempresarial
2471;femenino;comercio;la esperanza;1;6;2017-04-25;3000000.0;almacen ropa;microempresarial
2472;femenino;servicio;san javier no.1;2;13;2018-01-03;7377000.0;charcuteria;microempresarial
2473;femenino;comercio;buenos aires;3;9;2019-03-05;8000000.0;almacen ropa;microempresarial
2474;femenino;comercio;robledo;1;7;2017-07-24;6000000.0;comidas rapidas;microempresarial
2475;femenino;industria;alfonso lopez;3;5;2018-03-21;5000000.0;fabrica arepas;microempresarial
2476;femenino;comercio;manrique central no. 1;2;4;2017-09-13;2000000.0;variedades;microempresarial
2478;femenino;comercio;manrique oriental;2;3;2016-11-29;3800000.0;variedades;microempresarial
2479;femenino;industria;moravia;2;7;2019-03-14;5000000.0;fabrica;microempresarial
2480;femenino;industria;belen;3;16;2019-05-29;8000000.0;fabrica;microempresarial
2481;femenino;comercio;cabecera san cristobal;2;60;2016-04-18;6500000.0;variedades;microempresarial
2482;femenino;servicio;la america;3;12;2017-02-23;7300000.0;comidas rapidas;microempresarial
2483;femenino;comercio;altavista;2;16;2018-02-12;4000000.0;variedades;microempresarial
2484;femenino;agropecuaria;cabecera san antonio ;2;80;2019-02-18;1800000.0;granero;microempresarial
2485;femenino;comercio;barrio caicedo;3;9;2016-09-26;6000000.0;granero;microempresarial
2486;masculino;comercio;la milagrosa;3;9;2017-07-04;7377000.0;variedades;microempresarial
2487;femenino;servicio;manrique central no. 2;1;3;2016-04-07;6000000.0;restaurante;microempresarial
2488;femenino;comercio;robledo;2;7;2017-08-09;7377000.0;comidas rapidas;microempresarial
2489;masculino;comercio;cabecera san cristobal;1;60;2018-02-13;5000000.0;variedades;microempresarial
2490;femenino;comercio;san javier no.1;1;13;2018-07-27;1300000.0;comidas rapidas;microempresarial
2491;femenino;comercio;vrda. san antonio ;3;80;2016-02-10;6000000.0;peluqueria;microempresarial
2492;masculino;comercio;buenos aires;3;9;2018-09-17;7800000.0;comidas rapidas;microempresarial
2493;femenino;comercio;belen;3;16;2016-04-20;4000000.0;fabrica alimentos;microempresarial
2494;masculino;servicio;cabecera san antonio ;2;80;2016-04-26;6890000.0;mantenimiento;microempresarial
2495;femenino;comercio;enciso;1;8;2016-09-07;6890000.0;tienda;microempresarial
2496;masculino;servicio;moravia;1;4;2018-02-08;7300000.0;fotografia;microempresarial
2497;femenino;comercio;cabecera san antonio ;2;80;2018-03-02;7800000.0;panaderia;microempresarial
2498;masculino;comercio;aranjuez;3;4;2018-04-26;4000000.0;comidas rapidas;microempresarial
2499;masculino;industria;belen;2;16;2017-07-24;1500000.0;ebanistaria;microempresarial
2500;femenino;servicio;campo valdes no. 1;3;4;2018-04-25;6000000.0;peluqueria;microempresarial
2502;femenino;comercio;cabecera san antonio ;2;80;2018-10-03;5000000.0;tienda;microempresarial
2503;masculino;comercio;centro admtivo;3;10;2017-05-25;4400000.0;charcuteria;microempresarial
2504;femenino;industria;trinidad;2;15;2016-10-24;2500000.0;panaderia;microempresarial
2505;masculino;servicio;buenos aires;3;9;2017-03-16;7000000.0;mantenimiento;microempresarial
2506;femenino;industria;el chagualo;3;10;2018-02-28;1000000.0;fabrica;microempresarial
2507;femenino;comercio;cabecera san cristobal;1;60;2018-08-03;7800000.0;tienda;microempresarial
2508;femenino;comercio;villa del socorro;1;2;2018-05-23;3000000.0;comidas rapidas;microempresarial
2509;femenino;industria;moravia;2;4;2017-12-07;7300000.0;fabrica calzado;microempresarial
2510;femenino;industria;manrique central no. 2;3;3;2016-12-07;5000000.0;fabrica;microempresarial
2511;femenino;industria;santander;2;6;2018-06-27;3500000.0;fabrica;microempresarial
2512;masculino;comercio;moravia;2;4;2018-04-25;7800000.0;variedades;microempresarial
2513;femenino;comercio;olaya herrera;1;7;2017-12-05;1000000.0;miscelanea;microempresarial
2514;femenino;comercio;palenque;2;7;2016-09-22;5000000.0;papeleria;microempresarial
2515;femenino;comercio;santa cruz;2;2;2017-09-25;7370000.0;tienda;microempresarial
2516;femenino;comercio;la loma;2;60;2017-09-26;7370000.0;papeleria;microempresarial
2517;femenino;comercio;san german;3;7;2018-03-09;7800000.0;tienda;microempresarial
2518;femenino;comercio;san javier no.1;1;13;2016-12-14;6160000.0;cafeteria;microempresarial
2519;femenino;comercio;robledo;2;7;2018-11-19;5000000.0;variedades;microempresarial
2520;femenino;comercio;moravia;2;4;2018-02-21;5000000.0;variedades;microempresarial
2521;femenino;comercio;boston;3;10;2016-04-08;6890000.0;variedades;microempresarial
2522;femenino;servicio;alfonso lopez;3;5;2019-01-15;5500000.0;peluqueria;microempresarial
2523;femenino;comercio;manrique oriental;1;3;2016-09-26;3000000.0;fabrica helados;microempresarial
2524;femenino;comercio;buenos aires;3;9;2016-10-12;4000000.0;bares;microempresarial
2525;femenino;comercio;robledo;2;7;2017-06-13;4000000.0;tienda;microempresarial
2526;femenino;comercio;villatina;2;8;2018-07-05;3000000.0;variedades;microempresarial
2527;masculino;comercio;robledo;3;7;2017-07-13;3000000.0;variedades;microempresarial
2528;masculino;comercio;castilla;3;5;2018-10-24;990000.0;cafeteria;microempresarial
2529;femenino;servicio;santo domingo savio ;1;1;2018-05-10;4500000.0;peluqueria;microempresarial
2530;femenino;comercio;andalucia;2;2;2018-02-20;5000000.0;comidas rapidas;microempresarial
2531;femenino;comercio;moravia;2;4;2016-04-07;6000000.0;tienda;microempresarial
